Rk,Name,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP,Year,Team,Wins,Losses,Previous TS%,Previous TRB%,Previous AST%,Previous BPM,Previous VORP,Previous WS,Previous WS/48,Rookie,Previous VORP Team Rank,Previous TS% Team Rank,Previous TRB% Team Rank,Previous AST% Team Rank,Previous BPM Team Rank,Previous WS Team Rank,Previous WS/48 Team Rank,Top 5 Previous VORP Team Rank,Top 5 Previous TS% Team Rank,Top 5 Previous TRB% Team Rank,Top 5 Previous AST% Team Rank,Top 5 Previous BPM Team Rank,Top 5 Previous WS Team Rank,Top 5 Previous WS/48 Team Rank
15,Jumaine Jones,20,33,138,12.6,0.4320000000000001,0.069,0.31,12.6,17.9,15.2,6.1,2.3,2.6,17.5,25.4,,-0.2,0.3,0.0,0.008,,-2.7,-0.7,-3.4,0.0,2000,PHI,49,33,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,False,False,False,False,False,False,False
16,Stanley Roberts,29,5,51,3.0,0.289,0.063,0.188,12.8,19.8,16.2,9.0,1.0,1.4,10.4,16.6,,-0.1,0.1,0.0,-0.025,,-8.4,-0.6,-9.0,-0.1,2000,PHI,49,33,,,,,,,,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,False,False,False,False,False,False,False
17,Ira Bowman,26,11,20,13.3,0.868,0.0,1.0,0.0,11.2,5.5,7.6,2.6,0.0,25.8,8.5,,0.0,0.0,0.1,0.128,,0.3,3.4,3.6,0.0,2000,PHI,49,33,,,,,,,,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,False,False,False,False,False,False,False
18,Antonio Lang,27,3,6,25.2,1.042,0.0,1.0,0.0,0.0,0.0,28.3,0.0,0.0,0.0,10.5,,0.0,0.0,0.1,0.405,,8.0,3.4,11.3,0.0,2000,PHI,49,33,,,,,,,,,18.0,18.0,18.0,18.0,18.0,18.0,18.0,False,False,False,False,False,False,False
1,Darrell Armstrong,31,82,2590,19.5,0.542,0.36,0.221,2.7,8.6,5.7,31.4,3.2,0.2,16.8,23.9,,4.6,3.4,8.0,0.149,,3.6,0.9,4.5,4.3,2000,ORL,41,41,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,True
2,Bo Outlaw,28,82,2326,15.3,0.597,0.009000000000000001,0.478,9.5,15.1,12.3,14.7,2.4,4.5,24.5,9.8,,2.8,4.0,6.8,0.14,,0.9,3.6,4.5,3.8,2000,ORL,41,41,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True,True,True,True,True,True,True
3,Ben Wallace,25,81,1959,14.4,0.508,0.0,0.341,11.8,25.2,18.5,4.8,1.8,4.6,14.9,9.7,,1.7,3.9,5.6,0.138,,-0.3,2.1,1.8,1.9,2000,ORL,41,41,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,True,True,True,True,True,True,True
4,John Amaechi,29,80,1684,13.2,0.505,0.009000000000000001,0.416,4.0,13.2,8.6,9.1,1.0,1.5,14.4,24.1,,0.6,1.8,2.4,0.067,,-1.8,-0.8,-2.5,-0.2,2000,ORL,41,41,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True,True,True,True,True,True,True
5,Chucky Atkins,25,82,1626,14.4,0.489,0.22,0.179,1.3,7.1,4.2,30.9,1.6,0.1,15.1,24.3,,1.1,1.3,2.4,0.07200000000000001,,0.6,-1.4,-0.8,0.5,2000,ORL,41,41,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,True,True,True,True,True,True
6,Monty Williams,28,75,1501,13.8,0.5329999999999999,0.009000000000000001,0.309,7.0,11.2,9.1,11.3,1.5,0.8,15.1,20.2,,1.5,1.6,3.1,0.099,,-1.1,0.0,-1.1,0.3,2000,ORL,41,41,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,False,False,False,False,False,False
7,Pat Garrity,23,82,1479,11.9,0.532,0.337,0.19,3.2,12.2,7.7,6.2,1.0,0.9,11.8,20.4,,1.4,1.4,2.8,0.091,,-1.0,-0.6,-1.6,0.2,2000,ORL,41,41,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,False,False,False,False,False,False,False
8,Corey Maggette,20,77,1370,14.1,0.5529999999999999,0.023,0.557,9.8,14.3,12.0,7.0,0.9,1.3,19.1,22.1,,1.2,1.4,2.6,0.091,,-1.5,-1.0,-2.5,-0.2,2000,ORL,41,41,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,False,False,False,False,False,False,False
9,Michael Doleac,22,81,1335,13.3,0.49,0.004,0.17800000000000002,7.3,20.0,13.6,7.6,1.1,1.8,10.1,20.2,,1.1,1.9,3.0,0.106,,-2.6,0.0,-2.6,-0.2,2000,ORL,41,41,,,,,,,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,False,False,False,False,False,False,False
10,Tariq Abdul-Wahad,25,46,1205,14.4,0.484,0.041,0.293,7.0,14.6,10.8,9.7,2.2,0.9,13.0,23.3,,0.4,1.6,2.0,0.08199999999999999,,-1.0,0.2,-0.8,0.4,2000,ORL,41,41,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,False,False,False,False,False,False,False
11,Chris Gatling,32,45,1041,17.4,0.525,0.05,0.53,9.5,21.5,15.5,6.4,2.3,0.7,15.6,27.2,,0.8,1.7,2.5,0.115,,-0.8,-0.1,-0.9,0.3,2000,ORL,41,41,,,,,,,,,11.0,11.0,11.0,11.0,11.0,11.0,11.0,False,False,False,False,False,False,False
12,Ron Mercer,23,31,969,11.8,0.452,0.019,0.254,3.9,7.1,5.5,9.2,2.1,0.6,11.0,25.3,,-0.3,1.0,0.6,0.031,,-3.1,-0.6,-3.7,-0.4,2000,ORL,41,41,,,,,,,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,False,False,False,False,False,False,False
13,Anthony Johnson,25,18,214,8.9,0.459,0.08199999999999999,0.246,3.1,3.0,3.1,8.9,2.3,0.7,10.6,14.8,,0.0,0.2,0.2,0.049,,-3.2,0.7,-2.4,0.0,2000,ORL,41,41,,,,,,,,,13.0,13.0,13.0,13.0,13.0,13.0,13.0,False,False,False,False,False,False,False
14,Anthony Parker,24,16,185,9.7,0.461,0.246,0.193,3.0,12.9,8.0,8.0,2.1,1.5,15.1,16.6,,-0.1,0.2,0.2,0.04,,-2.8,0.8,-2.0,0.0,2000,ORL,41,41,,,,,,,,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,False,False,False,False,False,False,False
15,Derek Strong,31,20,148,12.0,0.499,0.083,0.292,8.1,24.2,16.2,4.1,1.7,0.9,18.1,18.8,,0.0,0.2,0.2,0.069,,-3.1,-0.6,-3.7,-0.1,2000,ORL,41,41,,,,,,,,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,False,False,False,False,False,False,False
16,Matt Harpring,23,4,63,14.2,0.398,0.118,0.412,8.7,12.1,10.4,17.2,3.9,1.1,4.7,14.1,,0.1,0.1,0.2,0.146,,0.2,3.0,3.2,0.1,2000,ORL,41,41,,,,,,,,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,False,False,False,False,False,False,False
