Year,Team,With Top 5 Players,Total VORP,Total TS%,Total TRB%,Total AST%,Total BPM,Total WS,Total WS/48,Wins,Losses,Total Games,Win %
2009,LAL,True,2.8,60.460000000000015,15.920000000000002,18.5,3.5,7.579999999999998,0.18180000000000002,65,17,82,0.7926829268292683
2009,MEM,True,0.66,53.04,12.059999999999999,17.94,-0.96,3.0800000000000005,0.0762,24,58,82,0.2926829268292683
2009,MIA,True,1.8800000000000001,57.400000000000006,14.819999999999999,23.520000000000003,2.2800000000000002,4.54,0.1326,43,39,82,0.524390243902439
2009,MIL,True,1.5,57.220000000000006,14.9,26.48,0.5599999999999999,5.220000000000001,0.10880000000000001,34,48,82,0.4146341463414634
2009,MIN,True,1.3199999999999998,56.78000000000001,14.64,19.479999999999997,0.1,4.54,0.1028,24,58,82,0.2926829268292683
2009,NJN,True,1.24,57.14,13.540000000000001,17.32,0.5599999999999999,4.62,0.12840000000000001,34,48,82,0.4146341463414634
2009,NOH,True,3.6399999999999997,59.14,15.080000000000002,23.860000000000003,3.5800000000000005,10.100000000000001,0.1808,49,33,82,0.5975609756097561
2009,NYK,True,1.26,70.38,19.48,21.060000000000002,4.42,4.88,0.23620000000000002,32,50,82,0.3902439024390244
2009,OKC,True,0.7,52.92,15.059999999999999,22.12,-0.52,3.16,0.0986,23,59,82,0.2804878048780488
2009,ORL,True,2.9,58.379999999999995,16.68,24.92,2.08,8.46,0.158,59,23,82,0.7195121951219512
2009,PHI,True,2.2199999999999998,54.580000000000005,15.66,21.0,1.48,6.739999999999999,0.13,41,41,82,0.5
2009,PHO,True,3.2199999999999998,60.50000000000001,13.8,24.240000000000002,2.6599999999999997,8.78,0.1584,46,36,82,0.5609756097560976
2009,POR,True,1.6,55.23999999999999,18.64,22.64,0.5,5.16,0.1186,54,28,82,0.6585365853658537
2009,SAC,True,1.5399999999999998,58.419999999999995,15.260000000000002,15.819999999999999,0.96,5.4799999999999995,0.124,17,65,82,0.2073170731707317
2009,SAS,True,3.06,59.099999999999994,17.44,31.240000000000002,3.960000000000001,7.94,0.1782,54,28,82,0.6585365853658537
2009,TOR,True,2.9799999999999995,59.019999999999996,16.04,17.88,3.2400000000000007,7.74,0.1634,33,49,82,0.4024390243902439
2009,UTA,True,3.3599999999999994,60.4,16.279999999999998,25.3,3.3600000000000003,8.62,0.166,48,34,82,0.5853658536585366
2009,WAS,True,1.86,56.06,15.0,24.580000000000002,1.5599999999999998,6.36,0.1288,19,63,82,0.23170731707317074
2010,ATL,True,2.3600000000000003,56.14,15.16,18.48,1.6,6.459999999999999,0.1298,53,29,82,0.6463414634146342
2010,BOS,True,3.62,62.4,16.94,21.240000000000002,4.88,8.86,0.18460000000000001,50,32,82,0.6097560975609756
2010,CHA,True,1.9,58.34,14.739999999999998,25.22,1.3800000000000001,5.5,0.126,44,38,82,0.5365853658536586
2010,CHI,True,1.1400000000000001,56.68,15.560000000000002,23.140000000000004,0.45999999999999996,4.74,0.11079999999999998,41,41,82,0.5
2010,CLE,True,4.36,59.239999999999995,15.780000000000001,23.82,4.319999999999999,10.8,0.20140000000000002,61,21,82,0.7439024390243902
2010,DAL,True,2.88,60.28,16.16,22.94,2.2800000000000002,7.459999999999999,0.1552,55,27,82,0.6707317073170732
2010,DEN,True,2.34,60.18,14.98,20.82,2.24,7.080000000000001,0.163,53,29,82,0.6463414634146342
2010,DET,True,1.7599999999999998,55.139999999999986,15.52,23.339999999999996,1.02,5.32,0.11979999999999999,27,55,82,0.32926829268292684
2010,GSW,True,1.1,58.660000000000004,14.580000000000002,20.2,0.6799999999999999,3.94,0.10880000000000001,26,56,82,0.3170731707317073
2010,HOU,True,1.7,59.199999999999996,17.94,26.46,1.58,6.1,0.16060000000000002,42,40,82,0.5121951219512195
2010,IND,True,2.0,59.00000000000001,14.920000000000002,23.3,1.7200000000000002,5.42,0.13940000000000002,32,50,82,0.3902439024390244
2010,LAC,True,1.4200000000000002,58.8,16.9,26.060000000000002,0.6200000000000001,5.1,0.1132,29,53,82,0.35365853658536583
2010,LAL,True,3.4,57.28,13.919999999999998,18.919999999999998,3.08,9.059999999999999,0.17880000000000001,57,25,82,0.6951219512195121
2010,MEM,True,1.28,55.699999999999996,16.36,26.720000000000006,0.4,4.880000000000001,0.11019999999999999,40,42,82,0.4878048780487805
2010,MIA,True,2.4400000000000004,56.64,18.720000000000002,25.139999999999997,1.6599999999999997,6.379999999999999,0.1258,47,35,82,0.573170731707317
